Date and Time,mAHD,,Drip Reference,Additional records when GW level lower than the monitoring position
14-02-2013 13:45,,,307.372,Seems mixed with the 14-11-2013 record
14-02-2013 14:00,307.023,,,
14-02-2013 14:15,307.023,,,
14-02-2013 14:30,307.024,,,
14-02-2013 14:45,307.024,,,
14-02-2013 15:00,307.025,,,
14-02-2013 15:15,307.027,,,
14-02-2013 15:30,307.029,,,
14-02-2013 15:45,307.029,,,
14-02-2013 16:00,307.032,,,
14-02-2013 16:15,307.033,,,
14-02-2013 16:30,307.035,,,
14-02-2013 16:45,307.036,,,
14-02-2013 17:00,307.036,,,
14-02-2013 17:15,307.038,,,
14-02-2013 17:30,307.038,,,
14-02-2013 17:45,307.04,,,
14-02-2013 18:00,307.041,,,
14-02-2013 18:15,307.042,,,
14-02-2013 18:30,307.042,,,
14-02-2013 18:45,307.042,,,
14-02-2013 19:00,307.042,,,
14-02-2013 19:15,307.041,,,
14-02-2013 19:30,307.039,,,
14-02-2013 19:45,307.038,,,
14-02-2013 20:00,307.037,,,
14-02-2013 20:15,307.035,,,
14-02-2013 20:30,307.034,,,
14-02-2013 20:45,307.032,,,
14-02-2013 21:00,307.031,,,
14-02-2013 21:15,307.03,,,
14-02-2013 21:30,307.029,,,
14-02-2013 21:45,307.029,,,
14-02-2013 22:00,307.027,,,
14-02-2013 22:15,307.026,,,
14-02-2013 22:30,307.025,,,
14-02-2013 22:45,307.025,,,
14-02-2013 23:00,307.024,,,
14-02-2013 23:15,307.024,,,
14-02-2013 23:30,307.025,,,
14-02-2013 23:45,307.025,,,
15-02-2013 0:00,307.025,,,
15-02-2013 0:15,307.025,,,
15-02-2013 0:30,307.026,,,
15-02-2013 0:45,307.028,,,
15-02-2013 1:00,307.027,,,
15-02-2013 1:15,307.025,,,
15-02-2013 1:30,307.025,,,
15-02-2013 1:45,307.026,,,
15-02-2013 2:00,307.026,,,
15-02-2013 2:15,307.027,,,
15-02-2013 2:30,307.027,,,
15-02-2013 2:45,307.028,,,
15-02-2013 3:00,307.028,,,
15-02-2013 3:15,307.028,,,
15-02-2013 3:30,307.028,,,
15-02-2013 3:45,307.028,,,
15-02-2013 4:00,307.029,,,
15-02-2013 4:15,307.029,,,
15-02-2013 4:30,307.03,,,
15-02-2013 4:45,307.029,,,
15-02-2013 5:00,307.029,,,
15-02-2013 5:15,307.028,,,
15-02-2013 5:30,307.028,,,
15-02-2013 5:45,307.028,,,
15-02-2013 6:00,307.027,,,
15-02-2013 6:15,307.027,,,
15-02-2013 6:30,307.025,,,
15-02-2013 6:45,307.023,,,
15-02-2013 7:00,307.021,,,
15-02-2013 7:15,307.02,,,
15-02-2013 7:30,307.019,,,
15-02-2013 7:45,307.017,,,
15-02-2013 8:00,307.016,,,
15-02-2013 8:15,307.015,,,
15-02-2013 8:30,307.014,,,
15-02-2013 8:45,307.011,,,
15-02-2013 9:00,307.009,,,
15-02-2013 9:15,307.008,,,
15-02-2013 9:30,307.007,,,
15-02-2013 9:45,307.007,,,
15-02-2013 10:00,307.006,,,
15-02-2013 10:15,307.006,,,
15-02-2013 10:30,307.006,,,
15-02-2013 10:45,307.006,,,
15-02-2013 11:00,307.006,,,
15-02-2013 11:15,307.004,,,
15-02-2013 11:30,307.006,,,
15-02-2013 11:45,307.005,,,
15-02-2013 12:00,307.007,,,
15-02-2013 12:15,307.008,,,
15-02-2013 12:30,307.01,,,
15-02-2013 12:45,307.011,,,
15-02-2013 13:00,307.013,,,
15-02-2013 13:15,307.013,,,
15-02-2013 13:30,307.013,,,
15-02-2013 13:45,307.013,,,
15-02-2013 14:00,307.015,,,
15-02-2013 14:15,307.019,,,
15-02-2013 14:30,307.024,,,
15-02-2013 14:45,307.027,,,
15-02-2013 15:00,307.027,,,
15-02-2013 15:15,307.032,,,
15-02-2013 15:30,307.032,,,
15-02-2013 15:45,307.027,,,
15-02-2013 16:00,307.026,,,
15-02-2013 16:15,307.028,,,
15-02-2013 16:30,307.025,,,
15-02-2013 16:45,307.027,,,
15-02-2013 17:00,307.028,,,
15-02-2013 17:15,307.027,,,
15-02-2013 17:30,307.029,,,
15-02-2013 17:45,307.03,,,
15-02-2013 18:00,307.032,,,
15-02-2013 18:15,307.03,,,
15-02-2013 18:30,307.031,,,
15-02-2013 18:45,307.028,,,
15-02-2013 19:00,307.024,,,
15-02-2013 19:15,307.025,,,
15-02-2013 19:30,307.023,,,
15-02-2013 19:45,307.021,,,
15-02-2013 20:00,307.022,,,
15-02-2013 20:15,307.023,,,
15-02-2013 20:30,307.019,,,
15-02-2013 20:45,307.02,,,
15-02-2013 21:00,307.02,,,
15-02-2013 21:15,307.017,,,
15-02-2013 21:30,307.016,,,
